Reference Year,Local government,Waste & Resource Recovery Group (WRRG),Annual tonnes Collected,Annual tonnes Collected.1,Annual tonnes  Processed / sorted,Annual tonnes Collected.2,Annual tonnes  Processed,Total Annual tonnes Collected,Total Annual Tonnes Processed / sorted
2001-2002,Banyule City Council,Metropolitan ," 19,134 "," 10,872 "," 10,231 "," 6,517 "," 6,517 "," 36,523 "," 16,748 "
2001-2002,Bayside City Council,Metropolitan ," 22,180 "," 8,005 "," 7,749 "," 7,800 "," 7,800 "," 37,985 "," 15,549 "
2001-2002,Boroondara City Council,Metropolitan ," 38,107 "," 16,749 "," 16,023 "," 9,129 "," 9,129 "," 63,985 "," 25,152 "
2001-2002,Brimbank City Council,Metropolitan ," 41,550 "," 9,886 "," 9,886 "," 2,200 "," 2,200 "," 53,636 "," 12,086 "
2001-2002,Cardinia Shire Council,Metropolitan ," 8,600 "," 4,080 "," 2,938 ", 59 , 59 ," 12,739 "," 2,997 "
2001-2002,Casey City Council,Metropolitan ," 38,533 "," 14,636 "," 12,552 "," 7,059 "," 7,059 "," 60,228 "," 19,611 "
2001-2002,Darebin City Council,Metropolitan ," 27,180 "," 10,585 "," 10,270 "," 5,198 "," 5,198 "," 42,963 "," 15,468 "
2001-2002,Frankston City Council,Metropolitan ," 18,495 "," 8,817 "," 8,442 ", -   , -   ," 27,312 "," 8,442 "
2001-2002,Glen Eira City Council,Metropolitan ," 41,249 "," 7,785 "," 7,696 "," 2,500 "," 2,182 "," 51,534 "," 9,878 "
2001-2002,Greater Dandenong City Council,Metropolitan ," 31,822 "," 11,191 "," 8,447 ", 382 , 382 ," 43,395 "," 8,829 "
2001-2002,Hobsons Bay City Council,Metropolitan ," 19,823 "," 6,497 "," 6,293 "," 2,269 "," 2,269 "," 28,589 "," 8,562 "
2001-2002,Hume City Council,Metropolitan ," 38,382 "," 6,155 "," 6,091 ", -   , -   ," 44,537 "," 6,091 "
2001-2002,Kingston City Council,Metropolitan ," 27,623 "," 13,111 "," 12,760 "," 10,667 "," 10,667 "," 51,401 "," 23,427 "
2001-2002,Knox City Council,Metropolitan ," 22,500 "," 12,719 "," 11,894 "," 11,500 "," 11,500 "," 46,719 "," 23,394 "
2001-2002,Manningham City Council,Metropolitan ," 21,302 "," 10,543 "," 10,016 "," 12,544 "," 12,544 "," 44,389 "," 22,560 "
2001-2002,Maribyrnong City Council,Metropolitan ," 15,900 "," 5,010 "," 4,860 ", 993 , 993 ," 21,903 "," 5,853 "
2001-2002,Maroondah City Council,Metropolitan ," 17,649 "," 9,745 "," 9,311 "," 12,411 "," 12,287 "," 39,805 "," 21,598 "
2001-2002,Melbourne City Council,Metropolitan ," 14,317 "," 2,590 "," 2,509 ", -   , -   ," 16,907 "," 2,509 "
2001-2002,Melton Shire Council,Metropolitan ," 12,709 "," 4,147 "," 3,343 ", -   , -   ," 16,856 "," 3,343 "
2001-2002,Monash City Council,Metropolitan ," 48,914 "," 11,495 "," 10,920 "," 5,411 "," 5,411 "," 65,820 "," 16,331 "
2001-2002,Moonee Valley City Council,Metropolitan ," 35,620 "," 6,572 "," 6,440 ", 562 , 562 ," 42,754 "," 7,002 "
2001-2002,Moreland City Council,Metropolitan ," 28,611 "," 11,892 "," 10,497 "," 5,514 "," 5,514 "," 46,017 "," 16,011 "
2001-2002,Mornington Peninsula Shire Council,Metropolitan ," 46,555 "," 9,826 "," 9,826 ", -   , -   ," 56,381 "," 9,826 "
2001-2002,Nillumbik Shire Council,Metropolitan ," 8,250 "," 5,591 "," 5,380 "," 1,203 "," 1,203 "," 15,044 "," 6,583 "
2001-2002,Port Phillip City Council,Metropolitan ," 19,047 "," 8,610 "," 8,223 ", 90 , 90 ," 27,747 "," 8,313 "
2001-2002,Stonnington City Council,Metropolitan ," 21,600 "," 9,714 "," 9,581 "," 2,400 "," 2,400 "," 33,714 "," 11,981 "
2001-2002,Whitehorse City Council,Metropolitan ," 32,500 "," 12,751 "," 12,644 "," 2,399 "," 2,399 "," 47,650 "," 15,043 "
2001-2002,Whittlesea City Council,Metropolitan ," 23,426 "," 8,693 "," 7,982 ", -   , -   ," 32,119 "," 7,982 "
2001-2002,Wyndham City Council,Metropolitan ," 20,779 "," 5,347 "," 5,347 ", 166 , 166 ," 26,292 "," 5,513 "
2001-2002,Yarra City Council,Metropolitan ," 13,006 "," 6,696 "," 6,419 ", 231 , 231 ," 19,933 "," 6,650 "
2001-2002,Yarra Ranges Shire Council,Metropolitan ," 28,978 "," 10,222 "," 8,372 "," 1,072 "," 1,072 "," 40,272 "," 9,444 "
2002-2003,Banyule City Council,Metropolitan ," 18,814 "," 10,950 "," 10,400 "," 5,308 "," 5,308 "," 35,072 "," 15,708 "
2002-2003,Bayside City Council,Metropolitan ," 20,810 "," 7,764 "," 7,565 "," 6,700 "," 6,700 "," 35,274 "," 14,265 "
2002-2003,Boroondara City Council,Metropolitan ," 43,262 "," 15,751 "," 15,330 "," 9,675 "," 9,675 "," 68,688 "," 25,005 "
2002-2003,Brimbank City Council,Metropolitan ," 40,600 "," 10,568 "," 10,399 "," 1,560 "," 1,560 "," 52,728 "," 11,959 "
2002-2003,Cardinia Shire Council,Metropolitan ," 10,623 "," 3,087 "," 2,667 ", 50 , 50 ," 13,760 "," 2,717 "
2002-2003,Casey City Council,Metropolitan ," 35,567 "," 16,482 "," 14,221 "," 6,836 "," 6,836 "," 58,885 "," 21,057 "
2002-2003,Darebin City Council,Metropolitan ," 26,991 "," 11,381 "," 11,118 "," 4,466 "," 4,466 "," 42,838 "," 15,584 "
2002-2003,Frankston City Council,Metropolitan ," 18,742 "," 10,319 "," 8,687 "," 3,262 "," 3,262 "," 32,323 "," 11,949 "
2002-2003,Glen Eira City Council,Metropolitan ," 33,008 "," 9,965 "," 9,872 "," 1,800 "," 1,602 "," 44,773 "," 11,474 "
2002-2003,Greater Dandenong City Council,Metropolitan ," 31,145 "," 11,487 "," 9,615 ", -   , -   ," 42,632 "," 9,615 "
2002-2003,Hobsons Bay City Council,Metropolitan ," 19,251 "," 7,070 "," 6,832 "," 1,943 "," 1,943 "," 28,264 "," 8,775 "
2002-2003,Hume City Council,Metropolitan ," 32,000 "," 10,015 "," 9,741 "," 4,122 "," 4,122 "," 46,137 "," 13,863 "
2002-2003,Kingston City Council,Metropolitan ," 27,034 "," 13,280 "," 12,783 "," 10,266 "," 10,266 "," 50,580 "," 23,049 "
