reports, acn, state, facility_website, main_activities, facility_id, postcode, abn, jurisdiction_code, jurisdiction_facility_id, primary_anzsic_class_code, first_report_year, facility_name, suburb, primary_anzsic_class_name, longitude, latitude, street_address, registered_business_name
12,"115248685","SA","http://www.australianpork.com.au","Piggery","519854","5400","14115248685","SA","SA0378","0192","2004/2005","SPF S2","Wasleys","Pig Farming",138.616451,-34.443497,"Coleman Road","AUSTRALIAN PORK FARMS INVESTMENTS PTY LTD"
11,"122087398","NSW",null,"Coal mining, open cut.","483996","2382","77122087398","NSW","1096","0600","2006/2007","Boggabri Coal Mine","Boggabri","Coal Mining",150.163493,-30.611544,"386 Leard Forest Road","BOGGABRI COAL PTY LIMITED"
1,"008686904","WA",null,"Hard rock quarry","616230","6429","57008686904","WA","WA1457","0919","2014/2015","Seven Mile Quarry","Karramindie","Other Construction Material Mining",121.377271,-30.846757,"Great Eastern Hwy","BORAL RESOURCES (WA) LTD"
1,"133357632","QLD",null,"Mining black coal","624282","4742","64133357632","QLD","Q020BYE001","0600","2015/2016","Byerwen Mine","Suttor","Coal Mining",147.843,-21.3168,"Wollombi Road","BYERWEN COAL PTY LTD"
2,"009137142","WA","http://www.cablesands.com.au","Mineral sands mining","544166","6218","49009137142","WA","WA0538","0805","2001/2002","YARLOOP MINE","Yarloop","Mineral Sand Mining",115.919167,-32.968889,"SOUTH WEST HWY","CABLE SANDS (WA) P/L"
3,null,"NT",null,"Live export spelling facility","497810","0845","83079966297","NT","NT426","0143","1999/2000","Cedar Park Export Yard","Batchelor","Beef Cattle Feedlots (Specialised)",131.102416,-13.234431,"166 Stuart Highway","CEDAR PARK EXPORT YARD"
14,"001892995","WA","http://www.clevelandcliffs.com/","Iron Ore Mining","545600","6426","46001892995","WA","WA0674","0801","2003/2004","Windarling Iron Ore Mine","Southern Cross","Iron Ore Mining",119.272222,-30.016944,"WINDARLING IRON ORE MINESITE VIA","CLIFFS ASIA PACIFIC IRON ORE PTY LTD"
1,null,"WA","http://www.contractpower.com.au","Power generation","629500","6638","48081538258","WA","WA1505","2611","2015/2016","Mt Magnet Town Diesel Powerstation","Mt Magnet","Fossil Fuel Electricity Generation",117.84,-28.055,"Criddle St","CONTRACT POWER AUSTRALIA PTY LTD"
10,"077356284","QLD",null,"Meat Chicken Facility","514086","4309","58077356284","QLD","Q086ILB055","0171","2004/2005","Carinya Poultry Farm","Aratula","Poultry Farming (Meat)",152.557877,-27.986008,"68 SAWMILL ROAD","EAST COAST ELECTRICAL QLD PTY LTD"
19,"008972281","WA",null,"Petroleum Product Wholesaling","537114","6330","30008972281","WA","WA0029","3321","1998/1999","Albany Depot","Albany","Petroleum Product Wholesaling",117.897778,-35.033056,"36 Copal Road","GRADOW PTY LTD"
2,"006560247","NSW",null,"Petroleum Product Wholesaling","486204","2541",null,"NSW","243","3321","1998/1999","Hill & Co Nowra Depot","Bomaderry","Petroleum Product Wholesaling",150.613945,-34.844547,"7 Victa Way","HILL & CO"
13,null,"QLD",null,"Pig Farming","512846","4615","35802771143","QLD","Q064ILP007","0192","2003/2004","Langford's","Nanango","Pig Farming",151.888889,-26.6775,"Darley Estate Road","JP AND LV WHITBY"
